2017-11-15 01:24:34 UTC+1  INFO development mode
2017-11-15 01:24:34 UTC+1  INFO server listening to port 8080
2017-11-15 01:24:43 UTC+1  INFO > 0oHB4YR3coDaoO4DAAAA connected
2017-11-15 01:24:43 UTC+1 DEBUG > 0oHB4YR3coDaoO4DAAAA {"data":"herro from client"}
2017-11-15 01:24:43 UTC+1 DEBUG < test
2017-11-15 01:24:53 UTC+1  INFO > 0oHB4YR3coDaoO4DAAAA disconnected
2017-11-15 01:24:59 UTC+1  INFO > Eb3a3i6KmBWLq0YjAAAB connected
2017-11-15 01:25:00 UTC+1 DEBUG > Eb3a3i6KmBWLq0YjAAAB {"data":"herro from client"}
2017-11-15 01:25:00 UTC+1 DEBUG < test
2017-11-15 01:29:36 UTC+1  INFO development mode
2017-11-15 01:29:36 UTC+1  INFO development mode
2017-11-15 01:29:36 UTC+1  INFO development mode
2017-11-15 01:29:37 UTC+1  INFO server listening to port 8080
2017-11-15 01:29:37 UTC+1  INFO > rDcsvmYxibut9zBZAAAA connected
2017-11-15 01:29:42 UTC+1  INFO > GQdwVduBVyMciNWJAAAB connected
2017-11-15 01:29:42 UTC+1 DEBUG > GQdwVduBVyMciNWJAAAB {"data":"herro from client"}
2017-11-15 01:29:42 UTC+1 DEBUG < test
2017-11-15 01:29:46 UTC+1  INFO > GQdwVduBVyMciNWJAAAB disconnected
2017-11-15 01:29:47 UTC+1  INFO > JI1SRqRcQqX5HO67AAAC connected
2017-11-15 01:29:47 UTC+1 DEBUG > JI1SRqRcQqX5HO67AAAC {"data":"herro from client"}
2017-11-15 01:29:47 UTC+1 DEBUG < test
